,District,cloud_01,cloud_03,cloud_05,cloud_07,cloud_09,cloud_11,sum_cloud
0,151,0,0,0,0,0,0,0
1,470,0,0,0,0,0,0,0
2,357,0,0,0,0,0,0.019312476,0.019312476
3,83,0,0,0,0,0.02257846,0,0.02257846
4,497,0,0,0,0,0,0.007847754,0.007847754
5,445,0,0,0,0,0,0,0
6,387,5.560673862,0,0.296267035,0.065811122,0,0.572519084,6.495271103
7,636,0,0,0,0,0,0,0
8,87,0,0,0.014992504,0,0,0,0.014992504
9,316,0.250776212,0.005970862,3.465525554,0.005970862,0.286601385,0.035825173,4.050670049
10,395,0,0,0.088841507,0,0,0,0.088841507
11,453,0,0,0,0,0,0,0
12,243,9.872804361,0,0,0,0,0.499531689,10.37233605
13,382,0,0,0.706260032,0.152512442,0,0,0.858772474
14,146,0,0.022031284,0.077109495,0,0,0,0.09914078
15,150,0,0,0,0,0,0,0
16,535,0.004846722,0,0.375866919,0,0.002423361,0.007270084,0.390407086
17,147,0,0.212118417,0,0,0,0,0.212118417
18,542,0,0.730607224,0.257371031,0.373162458,0.003727588,0.380242311,1.745110611
19,578,0,0.587453368,0.204196898,0,0.197264034,4.551294722,5.540209022
20,224,0.203738152,0.265745416,0.531490832,0.177163611,0.088581805,1.31112686,2.577846676
21,522,0,0,0.005508883,0.001377221,0,0.001377638,0.008263742
22,259,0.29924613,0.197125779,0,0.565259171,0.416719283,0.356052899,1.834403262
23,273,3.001613771,0.048413125,0.402448702,1.899386769,0.710059172,0.043033889,6.104955428
24,241,14.67287303,18.62745098,5.40166205,1.065246338,14.57564576,9.830643782,64.17352193
25,235,0.096598358,0,0,0,0,0.006899883,0.103498241
26,451,0.147743553,0,0,0,0,0,0.147743553
27,528,0.002873646,0,0,0,0.011494583,0,0.014368229
28,520,0.02305058,0,0,0.00329294,0,0.00658588,0.032929399
29,430,0.121872536,0.007168973,0,0,0,0,0.129041508
30,429,0.030197796,0.00301978,0,0,0,0.006039559,0.039257134
31,348,0,0,0,0,0,0.162176773,0.162176773
32,586,0,0.073746313,0.368822228,0.283076923,0,0.012804097,0.738449561
33,446,0,0,0,0,0,0.01076745,0.01076745
34,269,10.41544763,0.643651258,2.647239893,1.603735282,1.326311683,0.312073337,16.94845908
35,21,0,0,0,0.083655757,0.073855244,0.062676277,0.220187277
36,186,0.180882148,0.013914011,0,1.586197301,0.069570057,0.013914011,1.864477529
37,414,1.366448367,0,0,0,0,0,1.366448367
38,6,0.389063007,0.572787204,0.475521453,0.043229223,0.518862826,0.064843834,2.064307546
39,180,0.086650696,0.025485499,0.030582599,0.035679698,0.117233294,0.040776798,0.336408584
40,136,0,0,0,0,0,0,0
41,493,0,0,0,0,0,0.058754407,0.058754407
42,457,0,0,0,0,0,0.004996877,0.004996877
43,298,0.032087277,0,1.996838339,0.328894593,0.072196374,0.024084778,2.454101363
44,490,0,0,0,0,0,0,0
45,338,0,0.057049715,0.036515008,0.021891419,0.00729714,0.043782837,0.166536118
46,524,0,0,0,0,0,0.339909591,0.339909591
47,111,0,0,0,0,0,0.02007629,0.02007629
48,343,0.96798213,0.004599604,0.020683379,0.004136676,0.041366758,0.008273352,1.047041898
49,564,0.275151333,0,0,0,0,0.171982489,0.447133822
50,595,0.182648402,0,0.041152263,0.47436187,0.020294267,0,0.718456802
51,221,0.108200015,1.70801453,0.023185718,0.046371435,0.007728573,0.108200015,2.001700286
52,468,0.02760039,1.3691958,0.127178266,0.026518021,0.167767074,0.123931161,1.842190713
53,183,0.043963291,0.032972468,0.016486234,0.005495411,0.038467879,0.005495411,0.142880695
54,452,0,0,0,0,0,0,0
55,242,15.69242117,0,0,0,0,2.928786359,18.62120753
56,121,0,0,0,0,0,0.004027386,0.004027386
57,311,0,1.667789757,0.021155067,0.019245574,0,6.808803301,8.516993699
58,515,0,0,0,0,0.006932249,0,0.006932249
59,91,0,0,0,0,0,0,0
60,209,1.503579952,0.007955449,0,0.079554495,0.167064439,0.039777247,1.797931583
61,159,0,1.408165333,0.010130686,0.010130686,0,0.050653429,1.479080134
62,405,0,0,0,0,0,0,0
63,391,0.02987304,0,0,0,0,0,0.02987304
64,389,0,0.005786702,0.441843802,2.179320147,0,0.491869683,3.118820335
65,632,0.052356021,2.715681404,0.468125394,0.038680444,0.570680628,0.063265658,3.90878955
66,308,0.145560408,0.304749005,0.12930177,0.018570102,0.234558249,0.025647602,0.858387136
67,538,0,0,0.010517459,0,0.038924642,0.062251157,0.111693258
68,48,0,0,0,0,0.012920731,0.006460366,0.019381097
69,533,0.181834441,0,0,0,0,0.065595277,0.247429718
70,580,0,0,0,0,0,0.058709299,0.058709299
71,349,0,0,0,0,0,0.07703462,0.07703462
72,4,4.269622345,2.118143812,2.624109528,2.444715101,2.805577656,2.378128164,16.64029661
73,132,0,0,0.017409471,0,0.350748995,0.023176314,0.39133478
74,351,0,0.010075567,0.130982368,0,0,0.755667506,0.896725441
75,623,4.457248824,1.715345387,2.397509769,0,0.006622955,1.64249288,10.21921982
76,344,0,0,0,0,0,0.076030707,0.076030707
77,606,0.199929437,1.4174999,3.154347982,0.01600064,0.078591638,1.954017401,6.820386998
78,126,0.00295517,0,0,0,0,0.00295517,0.00591034
79,38,0,0,0,0,0,0,0
80,215,0.029331248,0.19554165,0,0.029331248,0,0.048885413,0.303089558
81,19,0.531914894,0.479595396,0.196815173,0.39817975,0.902024758,0.921699438,3.430229408
82,226,0.346347607,0.110201511,0.818639798,0.220403023,0.220403023,0.519521411,2.235516373
83,116,0,0.002101282,0,0,0,0,0.002101282
84,225,0,0,0.014577259,0.051020408,0,0.743440233,0.809037901
85,569,0.312519532,0.150009376,0.152043079,0.366960235,0.012500781,0.070050309,1.064083312
86,113,0.00194475,0.000972375,0.000972375,0,0,0.000972375,0.004861874
87,545,0.186207501,0.981423063,2.274903655,2.012285066,0.394629511,0.700068032,6.549516829
88,200,0.340897697,0.04678988,0.053474149,0.02339494,0.02339494,0.110290431,0.598242037
89,279,0.121500532,0,1.557516479,0.604508197,0.081000354,0.334126462,2.698652023
90,169,0,0,0,0,0,0.031318509,0.031318509
91,101,0.002179029,0.015253203,0,0,0,0,0.017432232
92,572,0.033259424,0,0.044345898,0.055432373,0.144124169,0.606946162,0.884108024
93,372,0,0,0.006884208,0,0,0,0.006884208
94,35,0,0,0,0.029202196,0,0.33862681,0.367829006
95,202,0.011209506,1.143369577,0,0.033628517,0,0,1.1882076
96,178,0.298449986,0.048137094,0.057764513,0.067391932,0.279195148,0.134783864,0.885722538
97,324,0,0.009760859,0.151371807,0.09472388,0.673637643,0,0.929494189
98,270,0.364132909,1.259292975,5.429312185,2.928235473,0,0.030344409,10.01131795
99,381,0.390209294,0.005912262,0.366560246,0.011827321,0,0.017736786,0.792245909
100,570,0.117300087,0.020108586,0.144111536,0.107245794,0,0.095190953,0.483956956
101,133,0.032135397,0,0,0,0.048226342,0.058914895,0.139276634
102,143,0.005876822,0,0.211565585,0,0.023507287,0.005876822,0.246826516
103,39,0.836751436,0,0,0,0,0.016450074,0.85320151
104,1,1.134969325,0.593047035,1.433104719,3.660531697,0.778449247,1.095738794,8.695840817
105,408,0,0,0.031712169,0,0,0,0.031712169
106,583,0,0,0,0.010500893,0,0.225539684,0.236040577
107,419,0,0,0,0,0.004476677,0,0.004476677
108,455,0.62873433,0,0,0,0,0.031241457,0.659975788
109,474,0.048671553,0.085890976,0,0,0,0.05726065,0.191823179
110,599,0.528511822,11.5291937,0.147477088,0.703179162,0.806675939,7.865847517,21.58088523
111,140,0,0,0,0,0.044198895,0.011044842,0.055243737
112,480,0,0,0,0,0,0.002949591,0.002949591
113,601,0.225638133,0,1.544153129,0.353527238,0.785698019,12.85040608,15.7594226
114,409,0,0,0.037770463,0,0,0,0.037770463
115,500,0,0,0,0,0,0,0
116,34,1.739872628,1.775983192,3.361565229,2.84954532,3.869204426,1.786948366,15.38311916
117,194,0.005562663,0,0,0,0,0,0.005562663
118,268,0.041666667,0.197628458,0.04214075,1.975620008,0.4604437,0.357995227,3.075494811
119,74,0,0,0,0,0,0,0
120,164,0.015496668,0,0.162715016,0,0.488145049,0.092980009,0.759336743
121,118,0,0.003632269,0,0,0,0,0.003632269
122,134,0.005024116,0,0,0.005025126,0.169677066,0.040192926,0.219919234
123,266,1.838074398,1.487964989,5.160263696,0.266370699,0.131291028,0.33916849,9.223133301
124,276,0.063492063,0,0.032341527,0.285714286,1.015873016,0,1.397420892
125,489,0,0,0,0,0,0,0
126,187,0,0.007638836,0.061110687,0.198609732,0.007638836,0,0.27499809
127,82,0,0,0,0.012656626,0.012656626,0,0.025313251
128,160,0,0.14973262,0.010695187,0,0,0,0.160427807
129,211,0.006914673,0.089890748,0,0,0,0.152122805,0.248928226
130,416,0.010630947,0,0,0,0,0.002657737,0.013288683
131,510,0,0,0.015534383,0.001725983,0,0.081121199,0.098381564
132,46,0,0.012781186,0,0.006390593,0,0,0.019171779
133,247,4.83502725,0,69.44444444,0,0,46.35761589,120.6370876
134,365,0,0,0,0,0,0,0
135,444,0,0,0,0,0,0.016770082,0.016770082
136,14,2.280516741,1.509359346,2.66076852,4.884370016,8.197701455,5.12145749,24.65417357
137,503,0,0,0,0,0,0.075984955,0.075984955
138,205,0.30816641,0,0.077041602,0.539291217,0,0,0.92449923
139,130,0.003803438,0.001901719,0,0,0,0.001901719,0.007606877
140,141,0,0,0,0,0,0,0
141,153,0.279369423,0.008552125,0.019954959,0.025656376,0.259414464,0.096924086,0.689871433
142,12,0.269905533,0.101214575,0.40526849,0.033738192,1.552480594,1.434350864,3.796958248
143,260,2.313587507,1.722456939,3.601921025,4.453168817,2.893320284,5.040474906,20.02492948
144,347,0,0,0,0,0,0,0
145,523,0.012778192,0,0.012778192,0,0.006389096,0.044834433,0.076779913
146,57,6.343467543,6.379984363,12.01471941,15.0634893,12.53658537,6.718381668,59.05662765
147,507,0,0,0.063621326,0,0,0,0.063621326
148,627,18.37916064,0,0.175572072,0,0.338875357,1.809902588,20.70351065
149,477,0.103497803,0.585079419,0.086616668,0.010561,0.063366002,0.078151403,0.927272295
150,410,0,0,0,0,0,0,0
151,628,59.25925926,17.64705882,0.160049793,21.59624413,0.13576487,0.584466188,99.38284306
152,332,0.181681494,0.050119033,0.037589275,0,0.012529758,0.144092219,0.426011778
153,63,8.297892449,3.540851918,0,0,0,1.824024194,13.66276856
154,472,0,0,0,0,0,0,0
155,64,0.00697642,0,0,0.011259993,0,0.013952839,0.032189252
156,431,0,0,0,0,0,0,0
157,614,0.03785216,5.158708701,0,0,0.048667063,2.516625375,7.761853299
158,435,0,0,0,0,0,0,0
159,428,0.263255699,0,0,0,0,0,0.263255699
160,157,0,0,0,0,0,0,0
161,220,0.257328261,0.469903782,0.167841558,0.055940926,0.134258223,0.156634594,1.241907344
162,13,3.046458492,3.084539223,3.617669459,6.435643564,4.265041889,5.674028941,26.12338157
163,473,0,0,0,0,0,0,0
164,32,0.007614986,0.007614986,0,0.007614986,0.663564945,0.175144685,0.861554589
165,406,0,0,0,0,0,0,0
166,282,0.01682935,0,3.423485108,0,0.067317402,0.87512622,4.38275808
167,16,1.215713855,0.371747212,0.3614209,1.184299571,2.293064877,1.276725099,6.702971515
168,90,0,0,0,0,0.049309665,0,0.049309665
169,43,0,0.012368584,0,0.020614306,0,0,0.03298289
170,340,0.007324934,0,0,0,0,0.003662467,0.010987401
171,568,0.142763327,0.002855267,0.031463631,0.034312184,0,0.219558509,0.430952917
172,496,0,0,0,0.047348485,0,0,0.047348485
173,534,0.011892728,0,0.011893199,0.001982121,0,0.001982121,0.027750169
174,125,0,0,0,0,0,0,0
175,447,0,0,0,0,0,0.12613811,0.12613811
176,620,4.499922947,0.602463011,2.464454976,0.514138817,0,6.459561735,14.54054149
177,45,0,0,0,0.088560886,0,0,0.088560886
178,246,1.663096888,0,5.719861883,9.014710913,0,5.571737292,21.96940698
179,622,0.443727309,1.490904904,1.312532382,0.051512253,0.236052738,2.083694084,5.618423669
180,78,0,0,0,0.00902853,0,0,0.00902853
181,112,0.00753343,0,0.001255572,0.005022286,0,0.008789001,0.022600289
182,354,0,0.171031534,0,0,0,1.079636558,1.250668092
183,509,0.068197318,0.018599268,0.018602344,0.002066585,0.004133171,0.010332927,0.121931613
184,7,0.089174246,0.267522739,0.035884094,0.14747903,0.046227811,0.285765315,0.872053236
185,236,0,0,0,0.004555809,0,0.004555809,0.009111617
186,172,0,0.010733645,0.053668223,0.005366822,0.010733645,0.032200934,0.112703268
187,375,0,0,0,0,0,0,0
188,529,0,0,0,0.032978423,0,1.490004772,1.522983195
189,248,0.454875074,6.90944041,2.258592471,1.079981218,0,0.082997392,10.78588656
190,216,0.575923585,0.014046917,0.091304959,0.063211125,0.028093833,0.04214075,0.814721169
191,317,7.421780257,0,0.024254184,0,0,0.036381276,7.482415717
192,40,0.131233596,0.018747657,0,0,0,0.037495313,0.187476565
193,505,4.520474264,0.004677159,0.004677159,0,0,0.025724375,4.555552957
194,171,0.007316359,0.021949078,0,0,0,0,0.029265438
195,393,0,0,0.021278105,0,0,0,0.021278105
196,168,0,0,0.005265098,0.005265098,0,0.005265098,0.015795293
197,165,0,0.009785693,0.004892847,0,0.004892847,0,0.019571387
198,402,0.498358581,0,0,0,0,0,0.498358581
199,53,0,0,0,0,0,0.011969597,0.011969597
200,495,0,0,0,0,0,0,0
201,479,0,0,0,0,0,0.014054419,0.014054419
202,484,0,0,0,0,0,0,0
203,231,0.009492169,0,0.037968676,0,0.142382534,0,0.189843379
204,41,0.005973002,0.011946004,0,0.005973002,0,0,0.023892008
205,331,0.020733983,0.031100974,0,0,0,0,0.051834957
206,602,2.003561888,8.21845175,0.041500664,1.751023608,0.651197605,0.842137498,13.50787301
207,104,0,0,0.013285859,0,0.002657172,0.002657172,0.018600202
208,383,0.192407696,0,0,0.317229185,0,0.041601664,0.551238545
209,592,0.22559475,2.07820618,0.74679442,1.309983453,3.063037453,1.017113335,8.440729591
210,313,0,0.370910054,0.021040819,1.111338379,0.37788385,0.006627344,1.887800447
211,353,0,0,0,0,0,0.074812968,0.074812968
212,390,0.087090313,0.00290301,0.278689,0.075493612,0,0.00290301,0.447078946
213,399,0,0,0,0.028401022,0,0.012171867,0.040572889
214,366,0,0,0,0,0,0,0
215,309,0.081419017,0.013643495,0.213143872,0,0.030757401,0.168653678,0.507617464
216,536,0,0.133333333,0.8,0.266666667,0,0.533333333,1.733333333
217,608,0.009325748,5.441574186,0.920810313,0.004693514,0.009325748,0.342026507,6.727756017
218,127,0,0.008178287,0.004089143,0,0.004089143,0.053158863,0.069515437
219,267,0.217214228,2.71559633,0.019153419,0.177869313,2.326002353,1.357588922,6.813424565
220,105,0,0,0.02629503,0,0,0,0.02629503
221,361,0,0,0,0.033778078,0,0.016889039,0.050667117
222,238,0,0,0,0.0074206,0,0.037102998,0.044523598
223,62,6.394812766,4.368327985,2.665245203,1.762956669,1.901565996,1.821157566,18.91406618
224,129,0.018140919,0,0,0,0,0.007256367,0.025397286
225,531,0,0,0,0,0,0.019429333,0.019429333
226,488,0.008750438,0.087504375,0.008750438,0,0,0,0.10500525
227,494,0,0,0,0,0,0,0
228,149,0.008649023,0.808683619,0.004324511,0.008649023,0,0.017298045,0.847604221
229,339,0.013165257,0,0,0,0,0.039495771,0.052661028
230,427,0.037746742,0.019983569,0,0,0,0,0.057730311
231,218,0.110820069,0,0.141043724,0.030223655,0.040298207,0.040298207,0.362683861
232,626,17.64141898,1.275490119,10.43268909,0.931336742,1.729559748,4.434559914,36.4450546
233,97,0,0,0,0,0,0,0
234,540,0,0,0.140431272,0,0.001846586,0.009232928,0.151510786
235,283,1.166127358,0.036632273,1.541579659,0.29985925,0.036632273,0.293058184,3.373888997
236,566,0.142559804,0,0,0.005702392,0,0.168788866,0.317051062
237,77,0,0,0,0,0,0,0
238,492,0.037459196,0,0,0,0,0.005351314,0.04281051
239,26,2.709860669,2.067381317,6.03279444,7.143132048,6.499535747,4.785343177,29.2380474
240,103,0,0,0,0.018551499,0,0,0.018551499
241,485,0,0,0,0,0,0,0
242,462,0,0,0,0,0,0,0
243,300,0.014035088,0.05174453,0.148148148,0.106247344,0.044195639,0.162601626,0.526972375
244,206,0.019118631,0,0.65378329,0.723813463,0.009559316,0.156739812,1.563014512
245,196,0,0,0,0,0,0,0
246,254,0.1421231,0.549303323,1.768234923,0.06576784,3.902373609,0.03332963,6.461132424
247,615,0,20.77777778,0,0,0,1.973684211,22.75146199
248,609,0,4.513590844,0.584845618,0.064921013,0,0.273224044,5.436581519
249,577,0,0.473495785,0.031239018,0.367775154,0.586498874,1.935162997,3.394171827
250,8,2.975014526,2.3474724,0.732132481,2.115787026,1.162115049,5.179181968,14.51170345
251,558,0,0,0,0,0,0.310314685,0.310314685
252,117,0,0,0,0,0,0,0
253,560,0,0,0,0,0,0.004298857,0.004298857
254,532,1.078384033,0,0.266315481,0.014632291,0,0.002926415,1.362258221
255,29,0,0,0,0,0.068936992,0.140331182,0.209268173
256,263,0.691857371,1.490154337,0.637898687,0.164624108,1.082135888,0.425758382,4.492428773
257,539,0,0,0.006815703,0,0.003373648,0.128211617,0.138400968
258,603,15.63088512,42.33870968,0,0,2.63653484,7.721280603,68.32741024
259,280,0.39905936,2.14494406,0.218950547,0.137621324,0.43468966,0.41331148,3.748576432
260,432,0,0,0,0,0,0,0
261,262,0.263815607,0.624392951,0.243448375,2.287077312,0.166666667,0.013875399,3.59927631
262,600,5.141519039,0,0.600480384,2.228565155,0.651272943,17.61713204,26.23896956
263,272,0.174621653,0.012934937,0.974047199,1.196791305,0.071142155,0.097012029,2.526549279
264,20,2.674577818,2.355089,1.579187586,1.252514171,1.49623646,2.665449566,12.0230546
265,137,0.019219681,0,0,0.115318086,0.009624639,0.269075533,0.413237939
266,188,0.330994307,0.019859658,0,0.258175559,0.112538064,0.046339203,0.767906792
267,491,0,0,0,0.007765784,0,0,0.007765784
268,591,0.229693047,1.054499896,0.853500432,0.24013364,1.739434975,4.349534914,8.466796904
269,0,3.664477013,3.63944271,3.247541753,4.645003425,4.108741249,4.56848859,23.87369474
270,465,0,0,0,0,0,0,0
271,521,0,0,0,0,0.003011731,0,0.003011731
272,379,1.128455896,0.009403799,0.21628738,0.11284559,0,0.009403799,1.476396464
273,175,0,0.08626267,0,0.008626267,0,0.034505068,0.129394005
274,10,0.676851673,0.309417908,0.5028041,0.038692204,0.135370335,2.958963283,4.622099501
275,67,0,0,0,0,0.007912644,0.007912644,0.015825289
276,293,0.087271751,0,1.360866622,0.41655469,0.067132116,0.120837809,2.052662987
277,621,0.047425474,4.007612224,0.659181051,0,0.086816321,3.936475756,8.737510827
278,261,1.443001443,0.77294686,0.335976347,1.114729459,1.505276226,0.122354093,5.294284428
279,69,0,0,0,0,0,0,0
280,385,0.150249414,0,0,0.144239437,0,0,0.294488851
281,460,0,0.012034177,0,0,0,0,0.012034177
282,363,0,0,0,0,0,0.075709779,0.075709779
283,374,0,0,0.002371973,0.002373436,0,0,0.004745409
284,525,0,0,0,0,0.003121683,0.02814787,0.031269553
285,326,0.08716496,0.199725378,0,0,0.048846013,0,0.33573635
286,421,0,0.042857755,0,0,0,0,0.042857755
287,618,23.71990505,0.577725473,1.632121758,0.808463919,0,2.218463987,28.95668019
288,587,0,0,0,0,0,0,0
289,223,0.422705314,0.09057971,0.226449275,0.166062802,0.211352657,0.588768116,1.705917874
290,106,0,0,0,0,0,0,0
291,161,0.009549274,0.410618793,0,0.009549274,0,0,0.429717341
292,214,0.862641009,0.132714001,0.96881221,0.318513603,0.451227605,0.95554081,3.689449237
293,162,0,0.177363929,0,0,0,0,0.177363929
294,191,0.193666579,0.041873855,0.020936928,0,0.157026956,0.020936928,0.434441246
295,299,0.082933476,0.124400213,1.512275761,0.319886263,0.456134115,0.201409869,2.697039697
296,341,0.301778907,0,0.857687421,0.047649301,0.0158831,0.0158831,1.23888183
297,546,2.780584903,0.983004134,0.012249273,1.518590748,1.463788088,0.012249273,6.770466418
298,222,0.301694129,0.069621722,0.777442562,0.174054305,0.069621722,0.34810861,1.740543049
299,258,0.427441761,0.648405452,0,0.851637765,0.388795617,0.433268859,2.749549454
300,15,16.47371715,14.0175219,10.88861076,9.621401752,10.60795989,9.136420526,70.74563198
301,36,0,0,0,0,0,0.025614754,0.025614754
302,610,0.008453085,0.553677092,0.409946842,0.110459682,0.033839516,3.360904007,4.477280225
303,498,0,0,0,0,0.006457237,0,0.006457237
304,93,0,0,0,0,1.666666667,0,1.666666667
305,499,0,0,0,0.019732039,0.001973204,0,0.021705243
306,425,0,0,0,0,0.002604641,0.020837132,0.023441773
307,501,0,0,0,0,0,0.03012826,0.03012826
308,394,0,0,0,0,0,0,0
309,411,0,0,0,0,0,0,0
310,2,9.042553191,7.559638943,2.901353965,6.689232753,4.029658285,14.29038053,44.51281767
311,513,0,0,0,0,0,0.089225965,0.089225965
312,107,0,0,0,0,0,0,0
313,551,0,0.001588436,0,0.001588487,0.038259206,0.139182263,0.180618392
314,233,0,0,0,0,0,0.02697963,0.02697963
315,281,0.045021385,0.315149696,2.419966621,0.075035642,0.075035642,0.570270879,3.500479865
316,312,0.824283658,0.296669881,0.030833269,0.945717361,0.380228137,0.558825721,3.036558027
317,131,0,0,0,0,0,0,0
318,155,0.007362957,0.011044435,0.011044435,0,0.011044435,0.025770349,0.066266613
319,327,1.744024458,2.445302445,0,0,0,0,4.189326903
