District_name,District_code,State_code,State_name,ASSET_2001,ASSET_2003,ASSET_2005,ASSET_2007,ASSET_2009,ASSET_2011,ASSET_Actual_2001,Formal_EMP_2001,LIT_2001,ASSET_change
Kupwara,1,1,JAMMU & KASHMIR,2,3,1,1,1,3,1,2,1,0
Badgam,2,1,JAMMU & KASHMIR,3,3,1,1,1,2,1,2,1,1
Leh (Ladakh),3,1,JAMMU & KASHMIR,2,2,2,2,2,2,1,3,1,1
Kargil,4,1,JAMMU & KASHMIR,1,3,2,2,2,1,1,3,1,0
Punch,5,1,JAMMU & KASHMIR,3,3,3,3,1,2,1,2,1,0
Rajauri,6,1,JAMMU & KASHMIR,3,3,1,3,1,1,1,2,1,0
Kathua,7,1,JAMMU & KASHMIR,1,3,1,3,3,2,1,2,1,1
Baramula,8,1,JAMMU & KASHMIR,1,3,1,2,1,3,1,2,1,1
Srinagar,10,1,JAMMU & KASHMIR,3,3,1,3,1,3,2,3,1,1
Pulwama,12,1,JAMMU & KASHMIR,3,3,1,3,3,3,1,2,1,1
Anantnag,14,1,JAMMU & KASHMIR,1,3,1,2,2,2,1,2,1,1
Doda,16,1,JAMMU & KASHMIR,3,3,1,3,1,1,1,2,1,0
Udhampur,19,1,JAMMU & KASHMIR,2,3,1,3,1,2,1,3,1,1
Jammu,21,1,JAMMU & KASHMIR,3,3,3,3,3,3,2,3,2,1
Chamba,23,2,HIMACHAL PRADESH,2,2,2,2,2,2,1,2,1,1
Kangra,24,2,HIMACHAL PRADESH,2,3,2,3,3,3,2,2,3,1
Lahul & Spiti,25,2,HIMACHAL PRADESH,3,3,2,1,2,3,1,3,2,1
Kullu,26,2,HIMACHAL PRADESH,2,3,2,2,2,2,1,2,2,1
Mandi,27,2,HIMACHAL PRADESH,1,3,1,1,1,3,2,2,2,1
Hamirpur,28,2,HIMACHAL PRADESH,3,3,1,3,1,3,2,2,3,1
Una,29,2,HIMACHAL PRADESH,3,3,1,3,3,3,2,2,3,1
Bilaspur,30,2,HIMACHAL PRADESH,3,3,1,3,3,3,2,2,2,1
Solan,31,2,HIMACHAL PRADESH,3,3,1,1,3,3,2,3,2,1
Sirmaur,32,2,HIMACHAL PRADESH,1,3,1,3,3,2,1,2,2,1
Shimla,33,2,HIMACHAL PRADESH,2,2,2,2,2,3,2,3,3,1
Kinnaur,34,2,HIMACHAL PRADESH,3,3,2,2,2,2,2,3,2,0
Gurdaspur,35,3,PUNJAB,3,3,1,3,1,3,3,3,2,0
Kapurthala,36,3,PUNJAB,3,3,1,3,3,3,3,3,2,0
Jalandhar,37,3,PUNJAB,3,3,3,3,3,3,3,3,2,0
Hoshiarpur,38,3,PUNJAB,3,3,3,3,3,3,3,3,3,0
Nawanshahr ,39,3,PUNJAB,3,3,3,3,3,3,3,3,2,0
Fatehgarh Sahib,40,3,PUNJAB,3,3,1,3,3,3,3,3,2,0
Ludhiana,41,3,PUNJAB,3,1,3,1,1,3,3,3,2,0
Moga,42,3,PUNJAB,3,1,3,3,3,3,2,2,1,1
Firozpur,43,3,PUNJAB,3,2,2,3,3,3,2,2,1,1
Muktsar,44,3,PUNJAB,3,3,3,3,3,3,2,2,1,1
Faridkot,45,3,PUNJAB,3,3,3,3,3,3,2,3,1,1
Bathinda,46,3,PUNJAB,3,1,3,3,3,3,2,3,1,1
Mansa,47,3,PUNJAB,3,3,3,3,3,3,2,2,1,1
Patiala,48,3,PUNJAB,3,1,1,1,1,3,3,3,2,0
Amritsar,49,3,PUNJAB,3,3,3,1,3,3,3,3,1,0
Rupnagar,51,3,PUNJAB,3,3,1,3,3,3,3,3,2,0
Sangrur,53,3,PUNJAB,3,1,2,3,3,3,2,3,1,1
Chandigarh,55,4,CHANDIGARH,3,3,3,3,3,3,3,3,3,0
Uttarkashi,56,5,UTTARAKHAND,2,3,2,2,2,2,1,2,1,1
Chamoli,57,5,UTTARAKHAND,2,2,1,3,3,2,1,2,2,1
Rudraprayag,58,5,UTTARAKHAND,3,3,1,1,3,2,1,2,2,1
Tehri Garhwal,59,5,UTTARAKHAND,1,3,1,3,3,2,1,2,1,1
Dehradun,60,5,UTTARAKHAND,1,3,1,3,3,3,3,3,3,0
Garhwal,61,5,UTTARAKHAND,1,3,1,2,1,2,1,2,2,1
Pithoragarh,62,5,UTTARAKHAND,2,2,2,3,2,2,1,2,2,1
Bageshwar,63,5,UTTARAKHAND,1,2,3,3,3,2,1,1,2,1
Almora,64,5,UTTARAKHAND,1,2,1,1,1,2,1,2,2,1
Champawat,65,5,UTTARAKHAND,3,3,1,1,1,3,1,2,2,1
Nainital,66,5,UTTARAKHAND,1,3,3,1,1,3,2,3,3,1
Udham Singh Nagar,67,5,UTTARAKHAND,3,1,1,1,1,1,2,2,1,1
Hardwar,68,5,UTTARAKHAND,1,3,1,3,1,1,2,3,1,1
Panchkula,69,6,HARYANA,3,3,1,3,1,3,3,3,2,0
Ambala,70,6,HARYANA,3,3,1,1,3,3,3,3,2,0
Yamunanagar,71,6,HARYANA,3,3,1,3,3,3,2,3,2,1
Kurukshetra,72,6,HARYANA,3,3,1,1,3,3,3,3,2,0
Kaithal,73,6,HARYANA,3,3,1,1,1,3,2,2,1,1
Karnal,74,6,HARYANA,3,1,1,1,3,3,2,3,1,1
Panipat,75,6,HARYANA,3,3,1,3,3,3,2,3,2,1
Sonipat,76,6,HARYANA,3,3,3,3,3,3,2,3,2,1
Jind,77,6,HARYANA,3,3,1,1,3,3,2,2,1,1
Fatehabad,78,6,HARYANA,3,3,3,3,3,3,1,2,1,1
Sirsa,79,6,HARYANA,3,2,2,2,2,3,2,2,1,1
Hisar,80,6,HARYANA,2,1,3,2,2,3,2,3,1,1
Bhiwani,81,6,HARYANA,2,2,2,2,2,2,1,2,1,1
Rohtak,82,6,HARYANA,3,3,3,3,3,3,2,3,2,1
Jhajjar,83,6,HARYANA,3,3,3,3,2,3,2,3,2,1
Mahendragarh,84,6,HARYANA,3,3,3,3,2,2,1,2,2,1
Rewari,85,6,HARYANA,3,3,3,3,2,3,2,2,2,1
Gurgaon,86,6,HARYANA,3,3,3,3,3,3,2,3,1,1
Faridabad,88,6,HARYANA,3,3,3,3,3,3,2,3,2,1
North West ,90,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0
North,91,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0
North East,92,7,NCT OF DELHI,3,3,3,3,3,3,3,3,2,0
East,93,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0
New Delhi,94,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0
Central,95,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0
West,96,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0
South West,97,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0
South,98,7,NCT OF DELHI,3,3,3,3,3,3,3,3,3,0
Ganganagar,99,8,RAJASTHAN,2,2,2,2,2,2,2,2,1,0
Hanumangarh,100,8,RAJASTHAN,2,2,2,2,2,2,1,1,1,1
Bikaner,101,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Churu,102,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Jhunjhunun,103,8,RAJASTHAN,2,2,2,2,2,2,1,2,2,1
Alwar,104,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Bharatpur,105,8,RAJASTHAN,2,2,2,2,1,2,1,2,1,1
Dhaulpur,106,8,RAJASTHAN,2,2,2,3,2,1,1,2,1,0
Karauli,107,8,RAJASTHAN,2,2,2,2,1,1,1,2,1,0
Sawai Madhopur,108,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Dausa,109,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Jaipur,110,8,RAJASTHAN,2,2,2,2,2,2,2,3,2,1
Sikar,111,8,RAJASTHAN,2,2,2,2,2,2,1,2,2,1
Nagaur,112,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Jodhpur,113,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Jaisalmer,114,8,RAJASTHAN,2,2,2,2,2,1,1,3,1,0
Barmer,115,8,RAJASTHAN,2,2,2,2,2,1,1,1,1,0
Jalor,116,8,RAJASTHAN,2,2,2,2,2,2,1,1,1,0
Sirohi,117,8,RAJASTHAN,2,2,2,2,2,2,1,3,1,1
Pali,118,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Ajmer,119,8,RAJASTHAN,2,2,2,2,2,2,1,3,1,1
Tonk,120,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Bundi,121,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Bhilwara,122,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Rajsamand,123,8,RAJASTHAN,2,2,2,2,2,2,1,3,1,1
Dungarpur,124,8,RAJASTHAN,2,1,2,1,2,1,1,1,1,0
Banswara,125,8,RAJASTHAN,2,1,2,2,2,1,1,1,1,0
Chittaurgarh,126,8,RAJASTHAN,2,2,2,2,2,2,1,2,1,1
Kota,127,8,RAJASTHAN,2,2,2,2,2,3,2,3,2,1
Baran,128,8,RAJASTHAN,2,2,2,2,2,2,1,1,1,1
Jhalawar,129,8,RAJASTHAN,2,2,2,2,2,2,1,1,1,1
Udaipur,130,8,RAJASTHAN,2,2,2,2,2,1,1,2,1,0
Saharanpur,132,9,UTTAR PRADESH,1,1,1,3,3,2,1,2,1,1
Muzaffarnagar,133,9,UTTAR PRADESH,3,3,2,3,2,2,1,2,1,1
Bijnor,134,9,UTTAR PRADESH,3,3,1,2,1,2,1,2,1,1
Moradabad,135,9,UTTAR PRADESH,2,1,3,1,1,2,1,2,1,1
Rampur,136,9,UTTAR PRADESH,3,1,1,1,1,2,1,1,1,1
Jyotiba Phule Nagar,137,9,UTTAR PRADESH,3,3,3,3,3,3,1,1,1,1
Meerut,138,9,UTTAR PRADESH,3,3,3,3,1,3,2,3,1,1
Baghpat,139,9,UTTAR PRADESH,3,3,3,3,3,3,1,2,1,1
Ghaziabad,140,9,UTTAR PRADESH,3,3,3,3,1,3,2,3,2,1
Gautam Buddha Nagar,141,9,UTTAR PRADESH,3,3,3,3,1,3,2,3,2,1
Bulandshahar ,142,9,UTTAR PRADESH,3,3,3,3,1,2,1,2,1,1
Aligarh,143,9,UTTAR PRADESH,3,3,1,2,1,2,1,2,1,1
Hathras ,144,9,UTTAR PRADESH,3,3,3,2,3,2,1,2,1,1
Mathura,145,9,UTTAR PRADESH,3,2,3,2,1,2,1,2,1,1
Agra,146,9,UTTAR PRADESH,2,2,2,2,3,2,2,2,1,1
Firozabad,147,9,UTTAR PRADESH,3,3,2,2,3,2,1,2,1,1
Mainpuri,148,9,UTTAR PRADESH,2,1,2,2,3,2,1,1,1,1
Budaun,149,9,UTTAR PRADESH,2,1,2,2,2,1,1,1,1,0
Bareilly,150,9,UTTAR PRADESH,2,1,1,1,2,2,1,2,1,1
Pilibhit,151,9,UTTAR PRADESH,3,1,1,1,1,2,1,1,1,1
Shahjahanpur,152,9,UTTAR PRADESH,2,1,1,1,1,1,1,1,1,0
Kheri,153,9,UTTAR PRADESH,2,2,2,2,2,1,1,1,1,0
Sitapur,154,9,UTTAR PRADESH,2,2,2,1,1,1,1,1,1,0
Hardoi,155,9,UTTAR PRADESH,1,1,1,1,2,1,1,1,1,0
Unnao,156,9,UTTAR PRADESH,3,2,1,1,2,1,1,1,1,0
Lucknow,157,9,UTTAR PRADESH,3,3,3,1,1,3,2,3,2,1
Rae Bareli,158,9,UTTAR PRADESH,3,1,1,2,2,1,1,1,1,0
Farrukhabad,159,9,UTTAR PRADESH,3,1,2,3,3,2,1,1,1,1
Kannauj,160,9,UTTAR PRADESH,3,2,2,2,3,2,1,1,1,0
Etawah,161,9,UTTAR PRADESH,3,1,3,2,3,2,1,1,2,1
Auraiya,162,9,UTTAR PRADESH,3,3,3,3,3,2,1,1,2,0
Kanpur Dehat,163,9,UTTAR PRADESH,3,1,2,2,3,1,1,1,1,0
Kanpur Nagar,164,9,UTTAR PRADESH,3,1,1,2,1,1,2,3,2,0
Jalaun ,165,9,UTTAR PRADESH,2,1,2,2,2,2,1,1,1,1
Jhansi,166,9,UTTAR PRADESH,1,1,2,2,2,2,1,2,1,1
Lalitpur,167,9,UTTAR PRADESH,1,1,2,2,2,1,1,1,1,0
Hamirpur,168,9,UTTAR PRADESH,2,2,1,2,2,1,1,1,1,0
Mahoba,169,9,UTTAR PRADESH,2,3,1,2,3,2,1,1,1,1
Banda,170,9,UTTAR PRADESH,1,1,1,1,2,1,1,1,1,0
Chitrakoot,171,9,UTTAR PRADESH,1,3,1,2,3,1,1,1,1,0
Fatehpur,172,9,UTTAR PRADESH,3,2,1,2,3,1,1,1,1,0
Pratapgarh,173,9,UTTAR PRADESH,3,3,3,2,3,2,1,1,1,1
Kaushambi,174,9,UTTAR PRADESH,3,3,3,3,3,1,1,1,1,0
Allahabad ,175,9,UTTAR PRADESH,2,1,1,1,3,2,1,2,1,1
Barabanki,176,9,UTTAR PRADESH,3,2,1,1,2,1,1,1,1,0
Faizabad,177,9,UTTAR PRADESH,3,3,2,1,3,2,1,1,1,1
Ambedkar Nagar,178,9,UTTAR PRADESH,3,3,1,3,3,2,1,1,1,0
Sultanpur,179,9,UTTAR PRADESH,3,3,1,3,3,2,1,1,1,1
Bahraich,180,9,UTTAR PRADESH,1,1,1,1,1,1,1,1,1,0
Shrawasti,181,9,UTTAR PRADESH,1,3,1,1,3,1,1,1,1,0
Balrampur,182,9,UTTAR PRADESH,1,3,1,1,1,1,1,1,1,0
Gonda,183,9,UTTAR PRADESH,2,3,1,1,3,1,1,1,1,0
Siddharthnagar,184,9,UTTAR PRADESH,2,3,1,3,3,2,1,1,1,0
Basti,185,9,UTTAR PRADESH,3,3,1,3,3,2,1,1,1,1
Sant Kabir Nagar,186,9,UTTAR PRADESH,3,3,3,3,3,2,1,1,1,1
Mahrajganj,187,9,UTTAR PRADESH,3,1,3,3,1,1,1,1,1,0
Gorakhpur,188,9,UTTAR PRADESH,3,2,2,3,3,2,1,1,1,1
Kushinagar,189,9,UTTAR PRADESH,1,1,3,1,1,1,1,1,1,0
Deoria,190,9,UTTAR PRADESH,3,2,1,3,3,1,1,1,1,1
Azamgarh,191,9,UTTAR PRADESH,2,2,1,3,1,2,1,1,1,1
Mau,192,9,UTTAR PRADESH,3,2,1,3,3,1,1,1,1,1
Ballia,193,9,UTTAR PRADESH,1,1,1,1,3,1,1,1,1,1
Jaunpur,194,9,UTTAR PRADESH,2,2,2,2,3,2,1,1,1,1
Ghazipur,195,9,UTTAR PRADESH,2,1,2,1,3,2,1,1,1,1
Chandauli,196,9,UTTAR PRADESH,3,1,1,1,1,2,1,1,1,1
Varanasi,197,9,UTTAR PRADESH,3,3,1,3,3,2,2,2,1,0
Sant Ravidas Nagar Bhadohi,198,9,UTTAR PRADESH,3,3,3,3,3,3,1,1,1,1
Mirzapur,199,9,UTTAR PRADESH,1,1,1,2,3,2,1,1,1,1
Sonbhadra,200,9,UTTAR PRADESH,2,1,1,1,2,1,1,1,1,0
Etah,201,9,UTTAR PRADESH,3,1,2,2,3,2,1,1,1,1
Pashchim Champaran,203,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Purba Champaran,204,10,BIHAR,1,1,1,1,2,1,1,1,1,0
Sheohar,205,10,BIHAR,3,3,3,3,3,3,1,1,1,0
Sitamarhi,206,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Madhubani,207,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Supaul,208,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Araria,209,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Kishanganj,210,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Purnia,211,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Katihar,212,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Madhepura,213,10,BIHAR,1,3,1,1,1,1,1,1,1,0
Saharsa,214,10,BIHAR,3,3,1,1,1,1,1,1,1,0
Darbhanga,215,10,BIHAR,1,1,1,1,3,1,1,1,1,0
Muzaffarpur,216,10,BIHAR,1,1,1,1,3,1,1,1,1,0
Gopalganj,217,10,BIHAR,1,1,1,1,3,1,1,1,1,0
Siwan,218,10,BIHAR,1,1,1,1,3,1,1,1,1,0
Saran,219,10,BIHAR,1,1,3,1,3,1,1,1,1,0
Vaishali,220,10,BIHAR,1,3,3,1,3,1,1,1,1,0
Samastipur,221,10,BIHAR,3,1,1,1,3,1,1,1,1,0
Begusarai,222,10,BIHAR,3,3,1,1,3,1,1,1,1,0
Khagaria,223,10,BIHAR,3,3,1,1,3,1,1,1,1,0
Bhagalpur,224,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Banka,225,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Munger,226,10,BIHAR,3,3,1,1,3,1,1,2,1,0
Lakhisarai,227,10,BIHAR,3,3,3,1,3,1,1,1,1,0
Sheikhpura,228,10,BIHAR,3,3,3,3,3,3,1,1,1,0
Nalanda,229,10,BIHAR,1,3,1,1,3,1,1,1,1,0
Patna,230,10,BIHAR,1,1,1,1,2,2,1,2,1,1
Bhojpur,231,10,BIHAR,1,3,3,1,3,1,1,1,1,0
Buxar,232,10,BIHAR,1,3,1,1,3,1,1,1,1,0
Kaimur (Bhabua),233,10,BIHAR,2,1,1,1,1,1,1,1,1,0
Rohtas,234,10,BIHAR,1,2,1,1,2,2,1,1,1,1
Aurangabad,235,10,BIHAR,1,1,1,3,1,1,1,1,1,0
Gaya,236,10,BIHAR,1,1,1,1,2,1,1,1,1,0
Nawada,237,10,BIHAR,1,1,1,1,3,1,1,1,1,0
Jamui,238,10,BIHAR,1,1,1,1,3,1,1,1,1,0
Jehanabad ,239,10,BIHAR,3,3,3,3,3,3,1,1,1,0
North ,241,11,SIKKIM,2,3,3,3,3,2,1,3,1,1
West,242,11,SIKKIM,3,3,3,3,3,2,1,2,1,1
South,243,11,SIKKIM,3,3,3,3,3,3,1,2,1,1
East,244,11,SIKKIM,3,3,3,3,3,3,2,3,2,0
Tawang,245,12,ARUNACHAL PRADESH,3,3,2,2,3,3,1,3,1,0
West Kameng,246,12,ARUNACHAL PRADESH,1,3,1,2,3,2,1,3,1,1
East Kameng,247,12,ARUNACHAL PRADESH,1,3,3,3,3,3,1,2,1,0
Papum Pare,248,12,ARUNACHAL PRADESH,3,3,1,3,3,3,2,3,2,1
Upper Subansiri,249,12,ARUNACHAL PRADESH,3,3,1,1,1,1,1,2,1,0
West Siang,250,12,ARUNACHAL PRADESH,3,3,1,3,1,2,1,2,1,1
East Siang,251,12,ARUNACHAL PRADESH,3,3,1,3,1,2,1,3,1,1
Upper Siang,252,12,ARUNACHAL PRADESH,3,3,3,3,1,1,1,3,1,0
Changlang,253,12,ARUNACHAL PRADESH,1,3,3,3,1,2,1,2,1,0
Tirap,254,12,ARUNACHAL PRADESH,3,3,1,3,1,3,1,2,1,0
Lower Subansiri,255,12,ARUNACHAL PRADESH,3,3,1,3,3,3,1,2,1,0
Dibang Valley,257,12,ARUNACHAL PRADESH,3,3,3,3,1,2,1,3,1,1
Lohit,259,12,ARUNACHAL PRADESH,3,3,3,3,1,2,1,3,1,0
Mon,261,13,NAGALAND,3,3,1,3,1,3,1,1,1,0
Mokokchung,262,13,NAGALAND,3,3,1,1,1,3,1,2,3,1
Zunheboto,263,13,NAGALAND,3,3,1,3,1,3,1,2,2,0
Wokha,264,13,NAGALAND,3,3,1,1,1,3,1,2,3,0
Dimapur,265,13,NAGALAND,3,3,1,1,1,3,1,3,2,1
Phek,266,13,NAGALAND,3,3,1,3,1,3,1,2,2,0
Tuensang,267,13,NAGALAND,3,3,1,3,1,3,1,1,1,0
Kohima,270,13,NAGALAND,3,3,1,3,1,3,1,3,2,1
Senapati (Excluding 3 Sub-Divisions),272,14,MANIPUR,1,1,1,1,1,1,1,1,1,0
Tamenglong,273,14,MANIPUR,3,1,1,3,1,1,1,1,1,0
Churachandpur,274,14,MANIPUR,3,1,1,3,1,1,1,2,2,0
Bishnupur,275,14,MANIPUR,3,3,3,3,3,3,1,3,1,1
Thoubal,276,14,MANIPUR,3,3,2,3,3,3,1,2,1,1
Imphal West,277,14,MANIPUR,3,3,3,3,3,3,2,3,3,1
Imphal East,278,14,MANIPUR,3,3,3,1,1,3,1,3,2,1
Ukhrul,279,14,MANIPUR,1,1,1,3,1,1,1,2,2,0
Chandel,280,14,MANIPUR,3,1,1,3,1,3,1,1,1,0
Mamit,281,15,MIZORAM,3,3,1,3,1,3,1,1,3,1
Kolasib,282,15,MIZORAM,3,3,1,3,1,3,1,2,3,1
Aizawl,283,15,MIZORAM,3,3,1,3,1,3,1,3,3,1
Champhai,284,15,MIZORAM,1,1,1,3,1,3,1,2,3,1
Serchhip,285,15,MIZORAM,3,3,1,3,1,3,1,2,3,1
Lunglei,286,15,MIZORAM,3,3,1,3,1,3,1,3,3,1
Lawngtlai,287,15,MIZORAM,3,3,1,3,1,3,1,2,1,0
Saiha,288,15,MIZORAM,3,3,1,3,1,3,1,2,3,1
West Tripura ,289,16,TRIPURA,1,2,1,1,1,2,1,3,2,1
South Tripura ,290,16,TRIPURA,1,3,1,1,1,3,1,2,2,0
Dhalai,291,16,TRIPURA,1,3,1,1,1,1,1,2,1,0
North Tripura ,292,16,TRIPURA,3,3,1,1,1,1,1,3,2,0
West Garo Hills,293,17,MEGHALAYA,1,3,1,1,1,1,1,2,1,0
East Garo Hills,294,17,MEGHALAYA,3,3,1,3,1,1,1,1,1,0
South Garo Hills,295,17,MEGHALAYA,3,3,1,3,1,3,1,2,1,0
West Khasi Hills,296,17,MEGHALAYA,1,1,1,1,1,1,1,1,1,0
Ri Bhoi,297,17,MEGHALAYA,3,3,1,1,1,1,1,2,1,0
East Khasi Hills,298,17,MEGHALAYA,1,1,1,1,1,2,1,3,2,1
Jaintia Hills,299,17,MEGHALAYA,1,1,1,1,1,1,1,2,1,0
Kokrajhar,300,18,ASSAM,1,1,1,1,1,1,1,2,1,0
Dhubri,301,18,ASSAM,1,1,1,1,1,1,1,2,1,0
Goalpara,302,18,ASSAM,1,1,1,1,1,1,1,2,1,0
Barpeta,303,18,ASSAM,1,1,1,1,1,1,1,2,1,0
Marigaon,304,18,ASSAM,1,1,1,1,1,1,1,1,1,0
Nagaon,305,18,ASSAM,1,1,1,1,1,1,1,2,1,0
Sonitpur,306,18,ASSAM,1,1,1,1,1,1,1,3,1,0
Lakhimpur,307,18,ASSAM,3,1,1,1,3,1,1,2,2,0
Dhemaji,308,18,ASSAM,3,1,3,3,3,1,1,1,1,0
Tinsukia,309,18,ASSAM,3,3,1,3,1,2,1,3,1,1
Dibrugarh,310,18,ASSAM,3,2,3,2,1,2,1,3,2,1
Sibsagar,311,18,ASSAM,3,1,1,1,1,2,1,3,2,1
Jorhat,312,18,ASSAM,1,1,2,1,1,2,1,3,2,1
Golaghat,313,18,ASSAM,1,1,1,1,1,1,1,2,2,0
Karbi Anglong,314,18,ASSAM,2,2,1,1,2,2,1,1,1,0
North Cachar Hills,315,18,ASSAM,3,3,1,3,1,1,1,3,1,0
Cachar,316,18,ASSAM,1,3,1,1,1,1,1,3,1,0
Karimganj,317,18,ASSAM,1,3,1,1,1,1,1,3,1,0
Hailakandi,318,18,ASSAM,3,3,1,1,1,1,1,2,1,0
Bongaigaon,319,18,ASSAM,1,3,1,3,1,1,1,2,1,0
Kamrup,321,18,ASSAM,1,1,1,1,1,1,1,3,2,1
Nalbari,323,18,ASSAM,1,3,1,3,1,1,1,2,1,0
