District_name,District_code,State_code,State_name,BF_2001,BF_2003,BF_2005,BF_2007,BF_2009,BF_2011,BF_Actual_2001,Formal_EMP_2001,LIT_2001,BF_change,BF_change_old
Darrang,325,18,ASSAM,2,2,2,2,2,2,2,2,1,0,-1
Darjiling ,327,19,WEST BENGAL,2,3,3,3,1,2,2,3,2,1,1
Jalpaiguri ,328,19,WEST BENGAL,2,2,2,2,2,2,1,3,1,0,0
Koch Bihar ,329,19,WEST BENGAL,2,1,1,1,1,2,1,2,1,1,1
Uttar Dinajpur,330,19,WEST BENGAL,1,1,1,1,1,1,1,2,1,0,0
Dakshin Dinajpur,331,19,WEST BENGAL,3,1,1,1,1,1,1,2,1,0,0
Maldah ,332,19,WEST BENGAL,2,1,2,2,2,1,1,2,1,0,0
Murshidabad ,333,19,WEST BENGAL,2,1,2,2,1,1,1,2,1,0,0
Birbhum,334,19,WEST BENGAL,1,1,1,1,1,1,1,2,1,0,0
Barddhaman ,335,19,WEST BENGAL,1,1,1,1,1,1,1,3,2,1,1
Nadia ,336,19,WEST BENGAL,1,2,3,2,1,2,2,2,1,0,0
North Twenty Four Parganas,337,19,WEST BENGAL,2,2,2,2,2,2,2,3,2,0,0
Hugli ,338,19,WEST BENGAL,1,1,2,2,1,2,2,3,2,0,0
Bankura ,339,19,WEST BENGAL,1,1,1,1,1,1,1,2,1,0,0
Puruliya,340,19,WEST BENGAL,1,1,1,1,1,1,1,2,1,0,0
Haora ,341,19,WEST BENGAL,1,3,3,3,1,2,2,3,2,0,0
Kolkata,342,19,WEST BENGAL,3,3,3,3,3,3,3,3,3,0,0
South  Twenty Four Parganas,343,19,WEST BENGAL,2,2,2,2,2,1,1,3,2,1,1
Medinipur ,344,19,WEST BENGAL,1,1,1,1,1,1,1,2,2,1,1
Garhwa,346,20,JHARKHAND,1,1,1,1,1,1,1,1,1,0,0
Chatra,347,20,JHARKHAND,1,1,1,1,1,1,1,1,1,0,0
Kodarma,348,20,JHARKHAND,1,1,1,1,1,1,1,2,1,0,0
Giridih,349,20,JHARKHAND,1,1,1,1,1,1,1,1,1,0,0
Deoghar,350,20,JHARKHAND,1,1,1,1,1,1,1,2,1,0,0
Godda,351,20,JHARKHAND,1,1,1,1,1,1,1,1,1,0,0
Sahibganj,352,20,JHARKHAND,2,1,1,3,1,1,1,2,1,0,0
Pakaur,353,20,JHARKHAND,2,3,1,2,1,1,1,2,1,0,0
Dhanbad,354,20,JHARKHAND,1,3,1,1,1,1,1,3,1,0,0
Bokaro,355,20,JHARKHAND,1,1,1,1,1,1,1,2,1,0,0
Lohardaga,356,20,JHARKHAND,1,1,1,1,1,1,1,1,1,0,0
Purbi Singhbhum,357,20,JHARKHAND,1,1,1,1,1,2,1,3,2,1,1
Palamu,358,20,JHARKHAND,1,1,1,1,1,1,1,1,1,0,0
Hazaribagh,360,20,JHARKHAND,1,1,1,1,1,1,1,2,1,0,0
Dumka,362,20,JHARKHAND,1,1,1,1,1,1,1,1,1,0,0
Ranchi,364,20,JHARKHAND,1,1,1,1,1,1,1,2,1,0,0
Gumla,366,20,JHARKHAND,1,1,1,1,1,1,1,1,1,0,0
Pashchimi Singhbhum,368,20,JHARKHAND,1,2,1,3,1,1,1,1,1,0,0
Bargarh,370,21,ODISHA,1,1,1,1,1,1,1,1,1,0,0
Jharsuguda,371,21,ODISHA,3,1,1,1,2,1,1,2,2,0,0
Sambalpur,372,21,ODISHA,1,1,1,1,1,1,1,2,1,0,0
Debagarh,373,21,ODISHA,1,1,1,1,1,1,1,1,1,0,0
Sundargarh,374,21,ODISHA,1,1,1,1,1,1,1,2,1,0,0
Kendujhar,375,21,ODISHA,1,1,1,1,1,1,1,2,1,0,0
Mayurbhanj,376,21,ODISHA,1,2,1,1,1,1,1,1,1,0,0
Baleshwar,377,21,ODISHA,1,1,1,1,1,1,1,1,2,0,0
Bhadrak,378,21,ODISHA,1,1,1,2,1,1,1,1,2,0,0
Kendrapara,379,21,ODISHA,2,1,1,3,1,1,1,1,2,0,0
Jagatsinghapur,380,21,ODISHA,3,1,3,3,1,1,1,2,3,0,0
Cuttack,381,21,ODISHA,1,1,1,1,1,1,1,3,2,0,0
Jajapur,382,21,ODISHA,1,1,1,1,1,1,1,2,2,0,0
Dhenkanal,383,21,ODISHA,1,1,1,1,1,1,1,2,2,0,0
Anugul,384,21,ODISHA,1,1,1,1,1,1,1,2,2,0,0
Nayagarh,385,21,ODISHA,1,1,1,2,3,1,1,1,2,0,0
Khordha,386,21,ODISHA,1,3,1,1,1,1,1,3,3,0,0
Puri,387,21,ODISHA,2,2,1,2,2,1,1,2,2,0,0
Ganjam,388,21,ODISHA,1,1,1,1,1,1,1,2,1,0,0
Gajapati,389,21,ODISHA,3,3,2,1,3,1,1,2,1,0,0
Kandhamal,390,21,ODISHA,2,2,1,3,1,1,1,2,1,0,0
Baudh,391,21,ODISHA,1,1,1,1,1,1,1,1,1,0,0
Sonapur,392,21,ODISHA,3,1,1,1,1,1,1,1,1,0,0
Balangir,393,21,ODISHA,1,1,1,1,1,1,1,1,1,0,0
Nuapada,394,21,ODISHA,1,1,1,1,1,1,1,1,1,0,0
Kalahandi,395,21,ODISHA,1,1,1,1,1,1,1,1,1,0,0
Rayagada,396,21,ODISHA,3,1,1,1,1,1,1,2,1,0,0
Nabarangapur,397,21,ODISHA,1,1,1,1,1,1,1,1,1,0,0
Koraput,398,21,ODISHA,1,1,1,1,1,1,1,2,1,0,0
Malkangiri,399,21,ODISHA,1,3,1,1,1,1,1,1,1,0,0
Koriya,400,22,CHHATTISGARH,3,1,1,1,1,1,1,2,1,0,0
Surguja,401,22,CHHATTISGARH,1,1,1,1,1,1,1,1,1,0,0
Jashpur,402,22,CHHATTISGARH,2,1,1,1,1,1,1,1,1,0,0
Raigarh,403,22,CHHATTISGARH,1,1,1,1,1,1,1,1,2,0,0
Korba,404,22,CHHATTISGARH,1,1,1,1,1,1,1,2,1,0,0
Janjgir - Champa,405,22,CHHATTISGARH,1,1,1,1,1,1,1,1,1,0,0
Bilaspur,406,22,CHHATTISGARH,1,1,1,1,1,1,1,2,1,0,0
Kawardha,407,22,CHHATTISGARH,1,1,1,1,1,1,1,1,1,0,0
Rajnandgaon,408,22,CHHATTISGARH,1,1,1,1,1,1,1,2,2,0,0
Durg,409,22,CHHATTISGARH,1,1,1,1,1,1,1,2,2,0,0
Raipur,410,22,CHHATTISGARH,1,1,1,1,1,1,1,2,2,0,0
Mahasamund,411,22,CHHATTISGARH,1,1,1,1,1,1,1,1,1,0,0
Dhamtari,412,22,CHHATTISGARH,1,1,1,1,1,1,1,1,2,0,0
Kanker,413,22,CHHATTISGARH,1,1,1,1,1,1,1,1,2,0,0
Bastar,414,22,CHHATTISGARH,1,1,1,1,1,1,1,1,1,0,0
Dantewada,416,22,CHHATTISGARH,1,3,1,1,1,1,1,1,1,0,0
Sheopur,418,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Morena,419,23,MADHYA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Bhind,420,23,MADHYA PRADESH,1,1,1,1,2,1,1,1,2,0,0
Gwalior,421,23,MADHYA PRADESH,1,1,1,1,1,3,2,3,2,1,1
Datia,422,23,MADHYA PRADESH,1,1,1,1,1,1,1,2,2,0,0
Shivpuri,423,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Tikamgarh,424,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Chhatarpur,425,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Panna,426,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Sagar,427,23,MADHYA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Damoh,428,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Satna,429,23,MADHYA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Rewa,430,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Umaria,431,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Neemuch,432,23,MADHYA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Mandsaur,433,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,2,0,0
Ratlam,434,23,MADHYA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Ujjain,435,23,MADHYA PRADESH,1,1,1,1,1,3,1,2,2,0,0
Shajapur,436,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,2,0,0
Dewas,437,23,MADHYA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Dhar,438,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Indore,439,23,MADHYA PRADESH,1,1,1,1,1,3,2,3,2,1,1
West Nimar,440,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Barwani,441,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Rajgarh,442,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Vidisha,443,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Bhopal,444,23,MADHYA PRADESH,3,3,1,1,3,3,3,3,2,0,0
Sehore,445,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Raisen,446,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,2,0,0
Betul,447,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Harda,448,23,MADHYA PRADESH,1,3,2,1,1,2,1,1,1,0,0
Hoshangabad,449,23,MADHYA PRADESH,1,1,1,1,1,2,1,2,2,1,1
Katni,450,23,MADHYA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Jabalpur,451,23,MADHYA PRADESH,3,3,1,2,1,2,1,3,2,1,1
Narsimhapur,452,23,MADHYA PRADESH,3,2,1,1,3,1,1,1,2,0,0
Dindori,453,23,MADHYA PRADESH,1,1,3,1,1,1,1,1,1,0,0
Mandla,454,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Chhindwara,455,23,MADHYA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Seoni,456,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Balaghat,457,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,2,0,0
Guna,458,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Shahdol,460,23,MADHYA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Sidhi,462,23,MADHYA PRADESH,1,1,1,1,1,1,1,1,1,0,0
Jhabua,464,23,MADHYA PRADESH,2,1,1,1,1,1,1,1,1,0,0
East Nimar,466,23,MADHYA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Kachchh,468,24,GUJARAT,2,2,2,2,2,2,1,3,1,1,1
Banas Kantha,469,24,GUJARAT,2,1,1,1,1,1,1,2,1,0,0
Patan,470,24,GUJARAT,1,3,1,2,1,2,1,2,1,0,0
Mahesana,471,24,GUJARAT,1,1,1,1,1,1,1,3,2,1,1
Sabar Kantha,472,24,GUJARAT,1,1,1,1,3,1,1,2,1,0,0
Gandhinagar,473,24,GUJARAT,1,1,1,1,1,3,1,3,2,1,1
Ahmadabad,474,24,GUJARAT,1,1,1,1,1,3,3,3,3,0,0
Surendranagar,475,24,GUJARAT,1,1,1,1,1,1,1,2,1,0,0
Rajkot,476,24,GUJARAT,1,1,1,1,1,2,3,3,2,0,0
Jamnagar,477,24,GUJARAT,2,2,2,1,2,2,1,3,1,1,1
Porbandar,478,24,GUJARAT,1,1,1,1,1,1,1,3,2,1,1
Junagadh,479,24,GUJARAT,1,1,1,1,1,2,1,2,1,1,1
Amreli,480,24,GUJARAT,1,1,1,1,1,1,1,2,1,1,1
Bhavnagar,481,24,GUJARAT,3,2,1,1,2,2,1,3,1,1,1
Anand,482,24,GUJARAT,1,3,3,3,1,2,1,3,2,1,1
Kheda,483,24,GUJARAT,1,1,1,1,1,1,1,3,2,0,0
Panch Mahals,484,24,GUJARAT,1,1,1,1,1,1,1,1,1,0,0
Dohad,485,24,GUJARAT,1,1,1,1,1,1,1,1,1,0,0
Vadodara,486,24,GUJARAT,1,1,1,1,1,3,3,3,2,0,0
Narmada,487,24,GUJARAT,1,1,1,1,1,1,1,1,1,0,0
Bharuch,488,24,GUJARAT,1,1,1,1,1,1,2,3,2,1,1
The Dangs,489,24,GUJARAT,1,1,1,1,1,1,1,1,1,0,0
Navsari,490,24,GUJARAT,3,3,2,2,2,3,1,3,2,1,1
Valsad,491,24,GUJARAT,1,1,1,2,1,2,1,3,2,1,1
Surat,492,24,GUJARAT,1,1,1,2,2,2,3,3,2,0,0
Diu,494,25,DAMAN & DIU,3,3,3,3,3,3,1,3,2,1,1
Daman,495,25,DAMAN & DIU,3,3,3,3,3,3,1,3,3,1,1
Dadra & Nagar Haveli,496,26,DADRA & NAGAR HAVELI,3,3,2,3,3,2,1,3,1,1,1
Nandurbar,497,27,MAHARASHTRA,1,1,1,1,1,1,1,1,1,0,0
Dhule,498,27,MAHARASHTRA,1,1,1,1,1,1,1,2,2,0,0
Jalgaon,499,27,MAHARASHTRA,1,1,2,1,1,1,1,2,2,0,0
Buldana,500,27,MAHARASHTRA,1,1,1,1,1,1,1,1,2,0,0
Akola,501,27,MAHARASHTRA,3,1,1,1,1,2,1,2,3,0,0
Washim,502,27,MAHARASHTRA,1,1,2,1,1,1,1,1,2,0,0
Amravati,503,27,MAHARASHTRA,1,1,1,1,1,2,1,2,3,1,1
Wardha,504,27,MAHARASHTRA,1,1,1,1,1,2,1,2,3,1,1
Nagpur,505,27,MAHARASHTRA,2,1,1,1,1,3,2,3,3,1,1
Bhandara,506,27,MAHARASHTRA,1,1,1,1,1,2,1,2,3,1,1
Gondiya,507,27,MAHARASHTRA,1,1,1,1,1,1,1,2,3,1,1
Gadchiroli,508,27,MAHARASHTRA,1,1,1,1,1,1,1,1,1,0,0
Chandrapur,509,27,MAHARASHTRA,1,1,1,1,1,2,1,2,2,0,0
Yavatmal,510,27,MAHARASHTRA,2,1,1,1,1,1,1,2,2,0,0
Nanded,511,27,MAHARASHTRA,1,1,1,1,1,1,1,2,1,0,0
Hingoli,512,27,MAHARASHTRA,1,1,1,1,1,1,1,1,1,0,0
Parbhani,513,27,MAHARASHTRA,1,1,1,1,1,1,1,2,1,0,0
Jalna,514,27,MAHARASHTRA,1,1,1,1,1,1,1,1,1,0,0
Aurangabad,515,27,MAHARASHTRA,1,1,1,1,1,2,1,2,2,0,0
Thane,516,27,MAHARASHTRA,1,1,1,1,1,2,1,3,1,0,0
Thane,517,27,MAHARASHTRA,1,1,1,1,1,3,3,3,3,0,0
Mumbai (Suburban),518,27,MAHARASHTRA,3,3,3,3,3,3,1,3,3,1,1
Mumbai,519,27,MAHARASHTRA,3,3,3,3,3,3,1,3,3,1,1
Raigarh,520,27,MAHARASHTRA,1,1,1,1,1,2,1,3,2,1,1
Pune,521,27,MAHARASHTRA,1,2,2,2,2,2,1,3,3,1,1
Ahmadnagar,522,27,MAHARASHTRA,2,1,1,2,1,2,1,2,2,0,0
Bid,523,27,MAHARASHTRA,1,1,1,1,1,1,1,1,1,0,0
Latur,524,27,MAHARASHTRA,1,1,1,1,1,1,1,2,2,0,0
Osmanabad,525,27,MAHARASHTRA,1,1,1,1,1,1,1,1,2,0,0
Solapur,526,27,MAHARASHTRA,1,1,1,1,1,2,1,2,2,0,0
Satara,527,27,MAHARASHTRA,1,1,1,1,1,2,1,2,3,1,1
Ratnagiri,528,27,MAHARASHTRA,1,1,1,1,1,3,1,2,2,1,1
Sindhudurg,529,27,MAHARASHTRA,1,3,1,1,1,3,1,2,3,1,1
Kolhapur,530,27,MAHARASHTRA,1,1,2,1,1,1,1,3,2,1,1
Sangli,531,27,MAHARASHTRA,1,1,1,1,1,1,1,2,2,1,1
Adilabad,532,28,ANDHRA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Nizamabad,533,28,ANDHRA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Karimnagar,534,28,ANDHRA PRADESH,1,1,1,1,1,2,1,2,1,0,0
Medak,535,28,ANDHRA PRADESH,1,3,1,1,1,2,1,2,1,0,0
Hyderabad,536,28,ANDHRA PRADESH,3,3,3,3,3,3,3,3,3,0,0
Rangareddi,537,28,ANDHRA PRADESH,1,1,1,1,1,3,2,3,1,1,1
Mahbubnagar,538,28,ANDHRA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Nalgonda,539,28,ANDHRA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Warangal,540,28,ANDHRA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Khammam,541,28,ANDHRA PRADESH,2,1,1,1,1,2,1,2,1,1,1
Srikakulam,542,28,ANDHRA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Vizianagaram,543,28,ANDHRA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Visakhapatnam,544,28,ANDHRA PRADESH,1,3,2,1,2,2,1,3,1,1,1
East Godavari,545,28,ANDHRA PRADESH,2,2,2,2,1,2,1,2,1,1,1
West Godavari,546,28,ANDHRA PRADESH,2,1,2,2,2,2,1,2,2,1,1
Krishna,547,28,ANDHRA PRADESH,2,1,1,2,3,3,1,3,2,1,1
Guntur,548,28,ANDHRA PRADESH,1,1,2,1,2,2,1,2,1,1,1
Prakasam,549,28,ANDHRA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Nellore,550,28,ANDHRA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Cuddapah,551,28,ANDHRA PRADESH,1,1,1,1,1,2,1,2,1,0,0
Kurnool,552,28,ANDHRA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Anantapur,553,28,ANDHRA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Chittoor,554,28,ANDHRA PRADESH,1,1,1,1,1,1,1,2,1,0,0
Belgaum,555,29,KARNATAKA,1,1,1,1,1,1,1,2,1,0,0
Bagalkot,556,29,KARNATAKA,1,1,1,1,1,1,1,2,1,0,0
Bijapur,557,29,KARNATAKA,2,1,1,1,1,1,1,2,1,0,0
Bidar,558,29,KARNATAKA,1,1,1,1,1,1,1,2,1,0,0
Raichur,559,29,KARNATAKA,1,1,1,1,1,1,1,2,1,0,0
Koppal ,560,29,KARNATAKA,1,1,1,1,1,1,1,2,1,0,0
Gadag,561,29,KARNATAKA,1,1,1,1,1,1,1,2,1,0,0
Dharwad,562,29,KARNATAKA,1,1,1,1,1,2,1,3,2,1,1
Uttara Kannada,563,29,KARNATAKA,2,2,2,2,1,2,1,3,2,1,1
Haveri,564,29,KARNATAKA,1,1,1,1,1,1,1,2,1,0,0
Bellary,565,29,KARNATAKA,1,1,1,1,1,1,1,2,1,0,0
Chitradurga,566,29,KARNATAKA,1,1,1,1,1,1,1,2,1,0,0
Davanagere ,567,29,KARNATAKA,1,1,1,1,1,2,1,2,1,0,0
Shimoga,568,29,KARNATAKA,1,1,2,2,1,2,2,2,2,0,0
Udupi,569,29,KARNATAKA,3,3,3,3,2,3,2,3,3,1,1
Chikmagalur,570,29,KARNATAKA,1,1,1,1,1,1,2,3,2,0,0
Tumkur,571,29,KARNATAKA,1,1,1,1,1,1,1,2,1,0,0
Bangalore,572,29,KARNATAKA,1,1,1,1,1,1,3,3,3,0,0
Mandya,573,29,KARNATAKA,1,1,1,1,1,1,1,2,1,0,0
Hassan,574,29,KARNATAKA,1,1,1,1,1,1,1,2,2,0,0
Dakshina Kannada,575,29,KARNATAKA,1,3,3,3,3,3,3,3,3,0,0
Kodagu,576,29,KARNATAKA,3,1,3,2,1,3,2,3,2,1,1
Mysore,577,29,KARNATAKA,1,1,1,1,1,1,1,3,1,1,1
Chamarajanagar,578,29,KARNATAKA,3,1,1,1,1,1,1,2,1,0,0
Gulbarga,579,29,KARNATAKA,1,1,1,1,1,1,1,2,1,0,0
Kolar,581,29,KARNATAKA,1,1,1,1,1,1,1,2,1,0,0
Bangalore Rural,583,29,KARNATAKA,1,1,1,1,1,2,1,2,1,1,1
North Goa ,585,30,GOA,3,3,3,2,3,3,2,3,3,1,1
South Goa,586,30,GOA,3,3,3,3,3,3,2,3,3,1,1
Lakshadweep,587,31,LAKSHADWEEP,3,3,3,3,3,2,3,3,3,0,0
Kasaragod,588,32,KERALA,3,3,3,3,3,3,3,3,3,0,0
Kannur,589,32,KERALA,3,3,3,3,3,3,3,3,3,0,0
Wayanad,590,32,KERALA,3,3,3,3,3,3,3,3,3,0,0
Kozhikode,591,32,KERALA,3,3,3,3,3,3,3,3,3,0,0
Malappuram,592,32,KERALA,3,3,3,3,2,3,3,3,3,0,0
Palakkad,593,32,KERALA,3,3,3,3,1,3,3,3,3,0,-1
Thrissur,594,32,KERALA,3,3,2,3,3,3,3,3,3,0,0
Ernakulam,595,32,KERALA,3,3,3,3,3,3,3,3,3,0,0
Idukki,596,32,KERALA,3,2,2,3,3,3,3,3,3,0,-1
Kottayam,597,32,KERALA,3,3,3,3,3,3,3,3,3,0,0
Alappuzha,598,32,KERALA,3,3,3,3,3,3,3,3,3,0,0
Pathanamthitta,599,32,KERALA,3,2,2,3,3,3,3,3,3,0,-1
Kollam,600,32,KERALA,3,3,3,3,3,3,3,3,3,0,-1
Thiruvananthapuram,601,32,KERALA,3,3,3,3,3,3,3,3,3,0,0
Thiruvallur,602,33,TAMIL NADU,1,1,1,1,1,3,2,3,2,1,1
Chennai,603,33,TAMIL NADU,3,3,3,3,3,3,3,3,3,0,0
Kancheepuram,604,33,TAMIL NADU,1,2,1,1,1,1,1,3,2,1,1
Vellore,605,33,TAMIL NADU,1,1,1,1,1,1,1,3,2,0,0
Tiruvannamalai,606,33,TAMIL NADU,1,1,1,1,1,1,1,2,1,0,0
Viluppuram,607,33,TAMIL NADU,1,1,1,1,1,1,1,1,1,0,0
Salem,608,33,TAMIL NADU,1,1,1,1,1,3,1,3,1,0,0
Namakkal,609,33,TAMIL NADU,1,1,1,1,1,1,1,3,1,0,0
Erode,610,33,TAMIL NADU,1,1,1,1,1,3,1,3,1,0,0
The Nilgiris,611,33,TAMIL NADU,3,2,2,3,3,2,1,3,3,0,0
Dindigul,612,33,TAMIL NADU,1,1,1,1,1,1,1,3,2,0,0
Karur,613,33,TAMIL NADU,1,1,1,1,1,1,1,3,1,0,0
Tiruchirappalli,614,33,TAMIL NADU,1,1,1,1,1,2,1,3,2,0,0
Perambalur,615,33,TAMIL NADU,3,1,1,2,2,1,1,1,1,0,0
Ariyalur,616,33,TAMIL NADU,3,1,1,1,2,1,1,1,1,0,0
Cuddalore,617,33,TAMIL NADU,1,2,1,2,3,1,1,2,2,0,0
Nagapattinam,618,33,TAMIL NADU,3,2,2,2,3,1,1,2,2,0,0
Thiruvarur,619,33,TAMIL NADU,3,2,2,3,3,1,1,2,2,0,0
Thanjavur,620,33,TAMIL NADU,3,3,1,3,2,2,1,2,2,0,0
Pudukkottai,621,33,TAMIL NADU,1,1,1,1,1,1,1,2,2,0,0
Sivaganga,622,33,TAMIL NADU,1,1,1,1,1,1,1,2,2,0,0
Madurai,623,33,TAMIL NADU,1,1,3,1,1,1,1,3,2,1,1
Theni,624,33,TAMIL NADU,1,1,1,1,1,1,1,3,2,0,0
Virudhunagar,625,33,TAMIL NADU,1,1,1,1,1,1,1,3,2,0,0
Ramanathapuram,626,33,TAMIL NADU,1,1,1,1,1,1,1,3,2,0,0
Thoothukkudi,627,33,TAMIL NADU,3,3,1,3,1,2,1,3,3,1,1
Tirunelveli ,628,33,TAMIL NADU,3,2,1,3,1,1,1,3,2,0,0
Kanniyakumari,629,33,TAMIL NADU,3,3,3,3,3,3,2,3,3,0,0
Dharmapuri,630,33,TAMIL NADU,1,1,1,1,1,1,1,2,1,0,0
Coimbatore,632,33,TAMIL NADU,1,1,1,1,1,3,1,3,2,1,1
Yanam,634,34,PUDUCHERRY,3,3,3,3,3,3,3,3,2,0,0
Pondicherry,635,34,PUDUCHERRY,3,3,3,3,3,3,3,3,3,0,0
Mahe,636,34,PUDUCHERRY,3,3,3,3,3,3,3,3,3,0,0
Karaikal,637,34,PUDUCHERRY,3,3,3,3,3,3,1,3,3,1,1
Nicobars,638,35,ANDAMAN & NICOBAR ISLANDS,3,3,3,3,3,2,1,3,2,1,1
Andamans,639,35,ANDAMAN & NICOBAR ISLANDS,3,3,3,3,3,2,2,3,3,1,1
